"nome_tse","nome_final","descricao"
"Cód. Eleição",codigo_eleicao,
"Desc. Eleição","eleicao",
"Data e hora",,
"Sequencial Candidato",numero_sequencial,
"UF","sigla_unidade_federativa",
"Número UE","codigo_unidade_eleitoral",
"Município","unidade_eleitoral",
"Sigla  Partido","sigla_partido",
"Número candidato","numero_candidatura",
"Cargo","cargo",
"Nome candidato","nome",
"CPF do candidato","cpf",
"Tipo do documento","tipo_documento",
"Número do documento","numero_documento",
"CPF/CNPJ do fornecedor","cpf_cnpj_fornecedor",
"Nome do fornecedor","fornecedor",
"Nome do fornecedor (Receita Federal)","fornecedor_receita_federal",
"Cod setor econômico do doador","codigo_setor_economico_fornecedor",
"Setor econômico do fornecedor","setor_economico_fornecedor",
"Data da despesa","data",
"Valor despesa","valor",
"Tipo despesa","tipo",
"Descriçao da despesa","descricao",
