"nome_tse","nome_final","descricao"
"Cód. Eleição",,
"Desc. Eleição","eleicao",
"Data e hora",,
"CNPJ Prestador Conta","cnpj",
"Sequencial Comite","numero_sequencial_comite",
"UF","sigla_unidade_federativa",
"Tipo Comite","orgao",
"Sigla  Partido","sigla_partido",
"Tipo do documento","tipo_documento",
"Número do documento","numero_documento",
"CPF/CNPJ do doador","cpf_cnpj_doador",
"Nome do doador","doador",
"Nome do doador (Receita Federal)","doador_receita_federal",
"Sigla UE doador",,
"Número partido doador","numero_partido_doador",
"Número candidato doador","numero_candidatura_doadora",
"Cod setor econômico do doador","codigo_setor_economico_doador",
"Setor econômico do doador","setor_economico_doador",
"Data da receita","data",
"Valor receita","valor",
"Tipo receita","tipo",
"Fonte recurso","fonte_recurso",
"Espécie recurso","tipo_recurso",
"Descrição da receita","receita",
"CPF/CNPJ do doador originário","cpf_cnpj_doador_originario",
"Nome do doador originário","doador_originario",
"Tipo doador originário","tipo_doador_originario",
"Setor econômico do doador originário","setor_economico_doador_originario",
"Nome do doador originário (Receita Federal)","doador_originario_receita_federal",
